prompt_tokens,completion_tokens,total_tokens
7410,342,7752
7819,97,7916
7410,342,7752
7410,72,7482
7410,72,7482
7410,72,7482
7410,72,7482
7819,97,7916
7410,342,7752
7819,97,7916
7410,342,7752
7410,342,7752
7410,342,7752
7410,342,7752
7410,342,7752
7410,72,7482
7819,97,7916
7819,97,7916
7819,97,7916
7819,97,7916
7819,97,7916
